SHOP_MONTH,NEW_STATUS,REPEAT_STATUS,REACTIVATED_STATUS,TOTAL,PREVIOUS_TOTAL,CHURN_STATUS
4/1/2006,1003,0,0,1003,,
5/1/2006,544,675,0,1219,1003,-328
6/1/2006,382,787,82,1251,1219,-432
7/1/2006,385,843,181,1409,1251,-408
8/1/2006,366,887,197,1450,1409,-522
9/1/2006,328,931,238,1497,1450,-519
10/1/2006,255,940,254,1449,1497,-557
11/1/2006,239,927,277,1443,1449,-522
12/1/2006,226,940,319,1485,1443,-503
1/1/2007,175,924,306,1405,1485,-561
2/1/2007,151,897,280,1328,1405,-508
3/1/2007,169,898,350,1417,1328,-430
4/1/2007,176,891,305,1372,1417,-526
5/1/2007,149,885,357,1391,1372,-487
6/1/2007,163,901,376,1440,1391,-490
7/1/2007,190,911,357,1458,1440,-529
8/1/2007,189,900,359,1448,1458,-558
9/1/2007,173,889,375,1437,1448,-559
10/1/2007,170,889,355,1414,1437,-548
11/1/2007,147,910,401,1458,1414,-504
12/1/2007,134,929,345,1408,1458,-529
1/1/2008,105,861,348,1314,1408,-547
2/1/2008,126,860,359,1345,1314,-454
3/1/2008,133,870,375,1378,1345,-475
4/1/2008,22,855,663,1540,1378,-523
5/1/2008,0,966,625,1591,1540,-574
6/1/2008,0,997,602,1599,1591,-594
7/1/2008,0,465,130,595,1599,-1134
